pcf_num,pcf_violation_code,pcf_violation_category,subsection,pcf_type
546,35753.0,unknown,A,vehicle code violation
547,25103.0,lights,,vehicle code violation
548,27801.0,other equipment,,vehicle code violation
549,22500.0,hazardous parking,D,vehicle code violation
550,26311.0,brakes,A,vehicle code violation
551,10851.0,unknown,5,vehicle code violation
552,22520.0,hazardous parking,5,vehicle code violation
553,12804.0,unknown,3,vehicle code violation
554,21201.0,other equipment,B,vehicle code violation
555,20015.0,unknown,A,vehicle code violation
556,35790.0,other hazardous violation,H,vehicle code violation
557,22406.0,speeding,E,vehicle code violation
558,22510.0,hazardous parking,,vehicle code violation
559,36509.0,lights,B,vehicle code violation
560,24600.0,lights,D,vehicle code violation
561,25257.0,lights,B,vehicle code violation
